docId,Entity,Start,End,Tag,Unidad
S0019103512002801-1927,about 0.1–0.2 s−1,152,169,Quantity,s−1
S0019103512002801-1927,5–10 s,212,218,Quantity,s
S0019103512004009-5019,30 nbar,310,317,Quantity,nbar
S0019103512004009-5019,1000 K,340,346,Quantity,K
S0019103512004009-5019,20 eV,680,685,Quantity,eV
S0019103512004009-5019,0.45 W m−2,710,720,Quantity,
S0019103512003533-5072,around 1300 m s−1 near 82° latitude and ∼1600 m s−1 near 78°,102,162,Quantity,°
S0019103513005058-1737,1 g cm−3,97,105,Quantity,
S0019103513005058-1737,1.5–2.6 m,132,141,Quantity,m
S0019103512004009-5507,about 8250 K,251,263,Quantity,K
S0019103512004009-5507,3Rp,308,311,Quantity,Rp
S0021979713004438-1415,25 ± 0.02 °C,345,357,Quantity,°C
S0012821X12004384-1405,ranging from 0% to 80%,762,784,Quantity,%
S0016236113008041-3112,10%,766,769,Quantity,%
S0019103512003995-3548,1 μbar,651,657,Quantity,μbar
S0019103512003995-3548,about 8250 K,851,863,Quantity,K
S0019103512003995-3548,3Rp,890,893,Quantity,Rp
S0019103512003995-3548,"approximately 6000 K and 11,000 K",1008,1041,Quantity,K
S0016236113008041-3290,<1 ppm,139,145,Quantity,ppm
S0016236113008041-3290,0.63 and 0.51 ppm respectively,203,233,Quantity,ppm
S0016236113008041-3290,1000 ppm,257,265,Quantity,ppm
S0016236113008041-3290,0 and 2000 ppm,424,438,Quantity,ppm
S0019103512003533-5031,from around 450 K,124,141,Quantity,K
S0019103512003533-5031,around 180 K,159,171,Quantity,K
S0019103512003533-5031,420 ± 30 K near 29.5°N,265,287,Quantity,°
S0019103512003533-5031,488 ± 14 K,376,386,Quantity,K
S0019103512003533-5031,450 K,528,533,Quantity,K
S0019103512003533-4971,less than 6 K,242,255,Quantity,K
S0012821X12004384-1594,above 2618 m,156,168,Quantity,m
S0012821X12004384-1594,40°N,310,314,Quantity,°
S0019103512003533-5598,from 74°S to 90°S,837,854,Quantity,°S
S0019103512003533-5598,490 K,884,889,Quantity,K
S0019103512003533-5598,430 K.,988,994,Quantity,K
S0019103512003533-5598,60 K,1014,1018,Quantity,K
S0012821X13002185-1231,30ε than,309,317,Quantity,
S0012821X13002185-1231,up to 40%,598,607,Quantity,%
S0012821X13002185-1231,385 (,759,764,Quantity,
S0012821X13002185-1231,12–20 μm,848,856,Quantity,μm
S0012821X13002185-1231,between 2 and 20 μm,1083,1102,Quantity,μm
S0012821X13002185-1231,∼–1‰,1327,1331,Quantity,‰
S0012821X13002185-1231,2–10 μm,1708,1715,Quantity,μm
S0012821X13002185-1231,10–20 μm,1720,1728,Quantity,μm
S0016236113008041-3269,1000 and 2000 ppm,287,304,Quantity,ppm
S0016236113008041-3269,from 0 to 1000 ppm,349,367,Quantity,ppm
S0016236113008041-3269,1000 ppm,446,454,Quantity,ppm
S0016236113008041-3269,0 and 2000 ppm,484,498,Quantity,ppm
S0016236113008041-3269,1000 ppm,714,722,Quantity,ppm
S0016236113008041-3269,135 ppm,764,771,Quantity,ppm
S0016236113008041-3269,407 ppm,791,798,Quantity,ppm
S0016236113008041-3269,0 and 2000 ppm,829,843,Quantity,ppm
S0016236113008041-3269,from 9.4 to 14.1 to 66.8 ppm,984,1012,Quantity,ppm
S0016236113008041-3269,"0, 1000 and 2000 ppm respectively",1039,1072,Quantity,ppm
S0019103511004994-1511,about 20 keV,321,333,Quantity,keV
S0019103511004994-1511,two,605,608,Quantity,
S0019103511004994-1511,five,713,717,Quantity,
S0019103511004994-1511,within 86 s,971,982,Quantity,s
S0019103511004994-1511,77.45°,1542,1548,Quantity,°
S0019103511004994-1511,16 times,1705,1713,Quantity,times
S0019103511004994-1511,5.65 s,1748,1754,Quantity,s
S0019103511004994-1511,0.66 s,1781,1787,Quantity,s
S0019103511004994-1511,86 s,1825,1829,Quantity,s
S0022459611006116-1195,from 5≤2θ/°≤80,170,184,Quantity,
S0022459611006116-1195,0.02°,205,210,Quantity,°
S0022459611006116-1195,50 min,230,236,Quantity,min
S0012821X13002185-1217,0.2 M NaOH at,123,136,Quantity,M
S0012821X13002185-1217,100 °C,137,143,Quantity,°C
S0012821X13002185-1217,40 min,148,154,Quantity,min
S0012821X13002185-1217,up to 1 week,168,180,Quantity,week
S0012821X13002185-1217,0.2 M,240,245,Quantity,M
S0012821X13002185-1217,5%,550,552,Quantity,%
S0012821X13002185-1217,95%,557,560,Quantity,%
S0012821X13002185-1217,1.23±0.25‰,1038,1048,Quantity,‰
S0019103512004009-3825,50%,28,31,Quantity,%
S0019103512004009-3825,"11,500 K",263,271,Quantity,K
S0019103512004009-3825,near 1.5Rp,308,318,Quantity,Rp
S0019103512004009-3825,0.3 nbar,324,332,Quantity,nbar
S0019103512004009-3825,from 0.1 to 1,350,363,Quantity,
S0019103512004009-3825,1.4Rp,386,391,Quantity,Rp
S0019103512004009-3825,0.5 nbar,393,401,Quantity,nbar
S0019103512004009-3825,1.9Rp (0.1 nbar,406,421,Quantity,nbar
S0019103512004009-3825,"from 10,000 K to 13,200 K.",458,484,Quantity,K
S0019103512004009-3825,1.,1000,1002,Quantity,
S0019103512004009-3488,3 mbar,181,187,Quantity,mbar
S0019103512004009-3488,from 1300 K to 3500 K,545,566,Quantity,K
S0019103512004009-3488,1 μbar,576,582,Quantity,μbar
S0019103512004009-3488,3 mbar,812,818,Quantity,mbar
S0016236113008041-3186,greater than 0.1 ppm.,109,130,Quantity,ppm
S0016236113008041-3186,from 0.06 to 0.42 to 0.74 ppm,191,220,Quantity,ppm
S0016236113008041-3186,"4.5, 6 and 13 kg",237,253,Quantity,kg
S0016236113008041-3186,<0.1 ppm,343,351,Quantity,ppm
S0012821X12004384-1415,average 5%,283,293,Quantity,%
S0021979713004438-1969,10 μM,153,158,Quantity,μM
S0021979713004438-1969,10%,354,357,Quantity,%
S0021979713004438-1969,3.91 nm,454,461,Quantity,nm
S0021979713004438-1969,over a 500 nm × 500 nm,462,484,Quantity,nm
S0019103512003995-2760,11 km s−1,324,333,Quantity,s−1
S0019103512003995-2760,5Rp,337,340,Quantity,Rp
S0019103512002801-1496,∼5.7 s,141,147,Quantity,s
S0019103512003533-3348,"2° and 10°,",326,337,Quantity,°
S0019103512003533-3348,0.4,381,384,Quantity,
S0019103512003533-3348,5 s,430,433,Quantity,s
S0021979713004438-1907,after 10 min,809,821,Quantity,min
S0021979713004438-1907,10 μm,973,978,Quantity,μm
S0016236113008041-3031,∼15 ppm,964,971,Quantity,ppm
S0016236113008041-3031,eight,996,1001,Quantity,
S0016236113008041-3031,two,1017,1020,Quantity,
S0016236113008041-3031,over five cycles,1042,1058,Quantity,
S0016236113008041-3031,from ∼20 ppm to ∼180 ppm,1082,1106,Quantity,ppm
S0016236113008041-3031,eight,1460,1465,Quantity,
S0016236113008041-3031,five,1547,1551,Quantity,
S0016236113008041-3031,∼50 ppm to ∼150 ppm,1564,1583,Quantity,ppm
S0012821X13002185-1200,>100 μm,318,325,Quantity,μm
S0012821X13002185-1200,between 50 and 100 spicules,400,427,Quantity,
S0012821X13002185-1200,200 μL,705,711,Quantity,μL
S0016236113008041-913,"0 ppm, 1000 ppm and 2000 ppm",96,124,Quantity,ppm
S0016236113008041-913,13 kg,147,152,Quantity,kg
S0019103512003533-3299,50%,1088,1091,Quantity,%
S0019103512003995-1910,between 1947 and 1999,141,162,Quantity,
S0019103512003995-1910,between 1%,203,213,Quantity,%
S0019103512003995-1910,37%,218,221,Quantity,%
S0019103512003995-1910,27 days,259,266,Quantity,days
S0019103512003995-1910,9 ± 6%,339,345,Quantity,%
S0019103512003995-1910,∼10–11 days,493,504,Quantity,days
S0019103512003995-1910,three,557,562,Quantity,
S0019103512003995-1910,approximately 2 h,649,666,Quantity,h
S0012821X13002185-1061,between 60% and 100%,296,316,Quantity,%
S0012821X13002185-1061,∼400 ka,363,370,Quantity,ka
S0019103512003995-1807,589.3 nm,323,331,Quantity,nm
S0019103512003995-1807,300–800 nm,753,763,Quantity,nm
S0019103512003995-1807,3 mbar,846,852,Quantity,mbar
S0012821X12004384-1302,Five,553,557,Quantity,
S0012821X12004384-1302,"2619.60, 2617.35, 2617.44, 2614.73, and 2614.71 m",588,637,Quantity,m
S0012821X12004384-1302,"2619.60, 2614.73, and 2614.71 m",769,800,Quantity,m
S0012821X12004384-1302,two samples 2619.60 and 2614.71 have a spore and pollen palynological,1481,1550,Quantity,
S0012821X12004384-1302,two,2115,2118,Quantity,
S0012821X12004384-1302,6–9,2138,2141,Quantity,
S0019103513005058-3094,∼2 m,868,872,Quantity,m
S0019103513005058-3094,0.1%,926,930,Quantity,%
S0019103513005058-3094,1.0–1.7 wt.%,1028,1040,Quantity,wt.%
S0019103513005058-3094,0.2–0.4 wt.%,1051,1063,Quantity,wt.%
S0019103513005058-3094,0.4–0.6 wt.%,1474,1486,Quantity,wt.%
S0012821X13007309-1482,17.7 m,92,98,Quantity,m
S0012821X13007309-1482,∼12 m,144,149,Quantity,m
S0012821X13007309-1482,∼12.6 m,171,178,Quantity,m
S0012821X13007309-1482,four bentonite units,422,442,Quantity,
S0012821X13007309-1482,1 to 20 cm,446,456,Quantity,cm
S0012821X13007309-1482,93.90±0.15 Ma,624,637,Quantity,Ma
S0019103512004009-3962,8250 K,55,61,Quantity,K
S0019103512004009-3962,1 μbar,105,111,Quantity,μbar
S0019103512004009-3962,0.5,265,268,Quantity,
S0019103512004009-3962,5–10,316,320,Quantity,
S0012821X13007309-1605,∼30°N,102,107,Quantity,°
S0012821X13007309-1605,∼20 m,792,797,Quantity,m
S0012821X13007309-1605,24 m,1001,1005,Quantity,m
S0019103512003533-4685,78°,179,182,Quantity,°
S0019103512003533-4685,latitude 0°,246,257,Quantity,°
S0019103512003533-4685,around 1000 km,586,600,Quantity,km
S0019103512002801-1342,1RRh = 764 km,43,56,Quantity,km
S0019103512002801-1342,about 8.74Rs from,133,150,Quantity,Rs
S0019103512002801-1342,"60,268 km",169,178,Quantity,km
S0019103512004009-4492,1958):where  ,135,148,Quantity,
S0019103512004009-4492,7.2 km s−1,286,296,Quantity,s−1
S0019103512004009-4492,approximately 7100 K.,366,387,Quantity,K
S0019103512004009-4492,7100 K,416,422,Quantity,K
S0019103512004009-4492,∼ 16,439,443,Quantity,
S0019103512004009-4492,∼ 8,467,470,Quantity,
S0019103512004009-4492,0.9mH.,657,663,Quantity,mH
S0016236113008041-3207,three,26,31,Quantity,
S0016236113008041-3207,90–95%,131,137,Quantity,%
S0019103511004994-1382,14 times,426,434,Quantity,times
S0019103511004994-1382,25 km,456,461,Quantity,km
S0019103511004994-1382,range 27 keV to 21,733,751,Quantity,keV
S0019103511004994-1382,at least two,1835,1847,Quantity,
S0019103512002801-1824,between 6%,101,111,Quantity,%
S0019103512002801-1824,13%,116,119,Quantity,%
S0019103512002801-1824,6–8%,133,137,Quantity,%
S0019103512003533-5251,∼460 K,98,104,Quantity,K
S0019103512003533-5251,440 ± 50 K.,464,475,Quantity,K
S0019103512003533-5251,563–624) ± 30 K,530,545,Quantity,K
S0019103512003533-5251,up to around 650 K,651,669,Quantity,K
S0019103512003533-5251,650 K,762,767,Quantity,K
S0019103512003533-5251,⩽ 650 K,874,881,Quantity,K
S0019103512003533-5251,> 650 K,932,939,Quantity,K
S0016236113008041-967,"4.5 kg, 6 kg and 13 kg",40,62,Quantity,kg
S0012821X12004384-1599,above 2618 m,111,123,Quantity,m
S0012821X13007309-1509,4.3 m,129,134,Quantity,m
S0022459611006116-1160,99.9%,176,181,Quantity,%
S0012821X13007309-1989,10 ppq,529,535,Quantity,ppq
S0012821X13007309-1989,187Os/188Os,619,630,Quantity,
S0012821X13007309-1989,0.13,634,638,Quantity,
S0012821X13007309-1989,1 to 600 ppt,969,981,Quantity,ppt
S0012821X13007309-1989,range from 1 to 30 ppt,1037,1059,Quantity,ppt
S0012821X13007309-1989,75%,1193,1196,Quantity,%
S0012821X13007309-1989,25%,1328,1331,Quantity,%
S0022000014000026-17824,1 μs,103,107,Quantity,μs
S0019103511004994-1565,±10 min,243,250,Quantity,min
S0019103511004994-1565,10 Enceladus radii REnc,963,986,Quantity,
S0019103511004994-1565,56–100 keV,1396,1406,Quantity,keV
S0019103512002801-1849,1%,127,129,Quantity,%
S0019103512002801-1849,1 keV,144,149,Quantity,keV
S0021979713004438-2148,10 μM,132,137,Quantity,μM
S0021979713004438-2148,15 min,193,199,Quantity,min
S0021979713004438-2148,1540 cm−1,888,897,Quantity,cm−1
S0021979713004438-2148,1550 cm−1,952,961,Quantity,cm−1
S0021979713004438-2148,1536 cm−1,966,975,Quantity,cm−1
S0021979713004438-2148,1540 cm−1,1049,1058,Quantity,cm−1
S0021979713004438-2148,two,1371,1374,Quantity,
S0021979713004438-2148,1485 cm−1,1460,1469,Quantity,cm−1
S0021979713004438-2148,1260 cm−1,1474,1483,Quantity,cm−1
S0021979713004438-2148,1423 cm−1,1827,1836,Quantity,cm−1
S0019103512002801-1608,about 5 km s−1,84,98,Quantity,s−1
S0019103512002801-1608,two,268,271,Quantity,
S0016236113008041-890,"4.5 kg, 6 kg and 13 kg",97,119,Quantity,kg
S0022399913003358-1044,around 40%,111,121,Quantity,%
S0022399913003358-1044,55–74 year,125,135,Quantity,year
S0012821X13002185-835,top 100 m,156,165,Quantity,m
S0022000014000026-18167,1-bit,1277,1282,Quantity,
S0022000014000026-18167,3f+1 nodes,2303,2313,Quantity,
S0022000014000026-18167,10%,5350,5353,Quantity,%
S0022000014000026-18167,two,6670,6673,Quantity,
S0019103513005058-4210,2 m,143,146,Quantity,m
S0019103513005058-4210,4.3 × 10−8 wt,230,243,Quantity,
S0019103513005058-4210,4.0 × 10−10 wt,251,265,Quantity,
S0019103513005058-4210,0.4–0.6 wt,402,412,Quantity,
S0019103513005058-4210,∼1:60 measured,548,562,Quantity,
S0019103512004009-4007,1–5Rp,632,637,Quantity,Rp
S0019103512004009-4007,93%,776,779,Quantity,%
S0019103512004009-4007,50 eV,894,899,Quantity,eV
S0019103512004009-4007,0.1,944,947,Quantity,
S0016236113008041-3153,13 kg,256,261,Quantity,kg
S0016236113008041-3153,<2 ppm,383,389,Quantity,ppm
S0016236113008041-3171,4.5 kg,283,289,Quantity,kg
S0016236113008041-3171,22 and 0.22 ppm respectively,325,353,Quantity,ppm
S0016236113008041-3171,13 kg,358,363,Quantity,kg
S0016236113008041-3171,<1 ppm and,493,503,Quantity,ppm
S0016236113008041-3171,6 kg over 4.5 kg,626,642,Quantity,kg
S0016236113008041-3171,from 6 kg to 13 kg,664,682,Quantity,kg
S0016236113008041-3171,<0.1 ppm,731,739,Quantity,ppm
